Id,SalePrice
2658,184018.64354838952
2718,178819.59618507547
2414,206846.19248944928
1989,173977.91264813647
625,193662.99259706264
333,80603.30918945794
1327,151395.68711638238
858,157571.42734995144
95,165180.31867182956
1568,173047.88681091036
2482,163596.47822484508
1364,93463.04451671553
2584,154810.96276905792
818,274543.3780075252
2673,165040.42303721898
2089,160309.41417464262
1297,211390.73173074482
790,143820.1271392047
2616,211395.99403262816
720,253277.48916142015
222,163499.5535823231
557,154260.42799568726
1148,189995.52820793583
2766,147050.48531857505
534,179830.35842999385
1452,126160.30763874753
630,140020.1253581093
2648,174704.00874416708
125,191203.8235775401
1904,89333.50345034558
1670,105632.4758807354
756,90238.41467766772
717,277153.66326926544
1032,160982.90371975844
852,224464.05028404723
1731,164878.52038255587
2639,172810.81485612175
2071,102419.1841062958
1267,138080.81761364205
1851,195209.9662573572
567,151310.54009355145
2439,199780.47439380197
1898,159332.6397267593
647,193517.65845530963
2256,260805.85280816135
979,92951.64547112507
1444,218457.03634572477
2485,124883.20669614905
157,147239.16435880974
88,135806.0306936795
2003,170905.81690307197
186,264627.7184260232
1425,237202.52687868153
2695,130070.67635106086
738,151842.14882815868
395,161644.74372253206
1353,197829.52447928113
1878,150388.31581438877
390,152504.2613358657
1456,227790.7054147136
1103,260542.2034503002
1387,150815.37223098127
2070,160934.0866131304
1199,159499.3382031979
2479,180803.68409902498
501,288913.1280903568
2362,77067.92358802591
1718,225637.0886399268
2188,101553.17973641376
1483,161697.55304150825
2557,106606.3684636446
437,310851.1566032688
2224,200477.86189569242
1628,180291.22972175293
397,149401.05458689178
587,195882.41538525952
971,139139.0435275538
2611,146587.5984244334
1887,112367.31117799271
2399,330329.32923189714
2148,200972.46034614713
304,127197.69632375511
1997,186338.19556523763
2817,142450.8208659347
1431,182723.00019124255
427,308431.4230894323
263,157245.16685085118
598,177760.0889776748
2895,257618.405071251
687,143696.6523664632
1822,140528.9668592896
2191,129646.76181276442
179,160601.69847931186
1009,201509.38715138665
2010,148200.6466422315
1991,209259.3457917585
1411,235804.44572529607
1721,234507.82595570775
1144,195656.94779611216
593,212746.49377691373
575,294645.35695103265
1249,174176.79318980104
1604,128472.17739967644
1064,384722.08468405704
1923,160846.998568834
1988,148526.57308838266
2325,171097.5132765175
114,207902.59453400903
2700,180041.09041952936
217,141266.80691158987
343,180033.16560860068
386,217793.91634936508
2005,177494.08250584168
2908,120345.29856950691
1814,208247.5993051628
2446,350531.4730239917
208,220387.7169383606
1679,133317.76576956286
822,300156.62025480083
6,181886.6262420419
1781,329901.54867074033
2397,274472.92586847453
2340,263328.92660091247
1618,152187.04698053555
2843,138503.5215086973
1061,328386.13677329925
2786,127845.07378794259
1935,157337.6669800846
1341,151141.1848108968
521,246399.70761288377
2136,153027.7390913796
996,193313.44039562592
227,141656.859579055
135,171821.48850715178
1167,177032.46994784684
294,237492.55046319228
1776,197391.7937055431
540,199305.21215254275
1717,223105.81060518874
2303,131081.25505042096
116,186099.00536750027
127,151770.77094625626
1371,130204.87498481692
1014,142567.34215525864
1507,138486.95205598098
702,202658.5870462564
750,203917.8304189226
261,146960.03936451895
1559,71595.92037977891
577,208619.60589740443
2812,185800.99058650277
2080,187065.31207460482
1368,185005.60291313354
2376,137338.714341912
659,164536.65777531487
1235,150270.1951024381
332,65570.07969471156
1917,141113.24672732543
2094,228614.04538377427
1460,249262.3462344628
1471,211501.12513217627
1509,146540.09212585073
1922,136047.9466515627
433,368709.76909351174
460,259731.39773486071
1116,221062.84390586347
1137,190137.4527902478
53,178396.8212414179
2354,231988.36376751208
1475,198474.8881488216
1761,370905.95382176124
842,140619.73992342694
2739,187198.42383443378
2509,174941.24382797698
1007,203342.57351946045
2610,186298.17800746046
1952,152642.51008608617
2719,176164.05647588355
2921,75147.4559198593
1966,144022.88123347805
292,120849.66760068285
1204,214609.46138902951
1829,261773.64674557443
2419,185589.13426700816
391,160440.26445625568
798,135055.6854430894
481,209683.52293194286
193,194723.7640491602
555,126686.01488649726
899,80759.8957911144
2357,201913.8139157432
328,127039.01672714633
1356,143979.12735051714
1154,120388.89180368523
1730,185276.39948790983
2249,177840.26671275037
1119,252483.90320866765
2856,122689.14085310377
1394,131130.0304737327
2587,140097.63046933376
61,255052.4676857707
2661,223093.17084906186
2711,129582.10732076212
1147,182215.99438815538
757,183696.19910200313
2623,93150.4316146121
2378,154805.87812212683
1413,164589.51213919814
1722,220813.3431464232
1112,219591.20547594308
1623,183265.0078357893
1201,193519.16460281305
1513,152961.7818605637
957,303773.2834259907
1171,242559.45854466042
1145,187289.81794407996
2726,189798.90843090805
703,170862.91400416876
760,116125.3710907359
1964,151590.8970115843
2512,189612.8707584294
159,185808.9235087347
1281,164380.43860316137
468,183857.71914757197
290,136653.9608143451
665,170730.983305209
1463,232342.6804626151
1792,196304.15378796624
923,129941.2687349301
500,229742.99098230788
1408,168576.74640167158
331,82711.70355503866
170,203179.87554839984
2192,124487.9770956926
2571,264691.12740704895
2314,156183.5120517134
2647,162014.71499220096
422,385100.3277226046
2457,292384.468060521
1838,172868.09742662575
2805,227367.86017181186
1645,155724.2078913394
1711,272192.620115111
2825,240505.8263074976
322,325975.48271736037
2103,241023.9538282493
342,128440.78663037499
600,131378.24645279266
488,171014.36227381718
1725,282011.67636854306
2246,225554.4874874567
2847,143137.60811293393
806,222936.9689307227
530,212508.26726766652
963,219870.92303670727
2678,124624.62143973852
171,147500.08254791735
2401,360052.92196284886
805,211814.4422116658
2259,276594.6825258364
1748,199665.51972964147
1361,130294.43608556758
1677,146327.00402595234
1406,199964.0774097068
2322,194423.60373646006
688,136989.52611478808
143,143658.44702248595
804,208258.05898003152
1214,150919.90071261377
2828,150038.48961744562
1999,226914.78056046693
2467,181812.06881930988
2665,216729.71485821786
1538,331142.02644864854
398,119906.43752316546
2822,141673.51158525463
2157,159221.36968569295
1856,198556.75446493513
1269,112145.26217865116
2570,135329.57830449738
2320,205636.02781865888
1517,146700.27076590242
2304,112914.55802954263
1312,138347.2650773035
2012,162739.03125776185
506,197921.20845424302
2865,203423.94040967256
2367,138235.3012948624
554,93324.70366048794
238,172773.09421657305
1954,108459.54966919434
2488,168943.94834872335
2291,90928.7277749406
1969,116798.76241872703
2725,143630.51965237263
1482,164016.5280841867
2763,205981.74963972945
503,221902.0191155027
1584,282327.37270129507
1531,123972.12573813988
2210,170303.11513445652
459,301777.16436064534
556,131054.36006986705
1347,201448.59887066256
1290,120940.55123973226
1388,113475.82390172339
1571,265433.1202633112
2754,201138.09531971617
765,168062.4323373621
2494,125309.37272667474
2870,234400.15591936992
7,225866.32662612974
1114,231519.20031896187
2418,230674.4982417904
291,126323.82882739375
18,291503.97082209564
39,332886.111255734
1001,234677.2204355691
2442,213504.0564806985
616,130878.51723375526
2680,76088.15121158636
1414,166064.2170717923
289,144271.88404731636
40,234499.49005070704
860,131845.08078447767
409,133203.95199843077
673,160035.22321264338
2427,173899.09683302656
2036,190744.413757389
2564,151565.76477567162
642,187750.0258488826
1008,177529.0230384746
1908,168206.34676404193
2519,222294.26020311197
1369,119918.81614426494
2855,184441.3487350048
712,184071.7763599348
1943,162493.23685876146
1958,145756.46032511565
107,190818.72090167404
2295,199842.45842249907
704,145755.85782609566
676,133367.89206248615
259,178856.14711810244
93,235823.3014883731
106,228369.50896201158
2315,164655.96295387027
1050,105093.85620713283
1095,221134.83564225968
2709,149541.5003763827
758,199992.41993674077
1496,168287.78734168774
2370,152746.13008660811
2458,259193.0757360037
2733,152032.81831069797
161,281325.0502504458
726,208114.41055426095
845,219742.29852559644
947,230853.62217238575
2232,103164.00645965377
2563,166979.95682899668
2299,138194.0357680864
211,106108.1190909973
605,161772.99691863146
1478,202869.65477666364
2247,224166.77686006238
2274,270634.6478790129
2869,193668.75751490874
967,234883.9851375182
2656,156421.79180508558
667,211256.28242733693
1042,143370.88870455013
2023,181506.14200956613
2447,303894.78043011215
2055,132010.88329914704
2275,266646.6534587281
2204,191641.83004904917
1563,225543.81362662584
483,233776.37277050753
796,160507.35427745944
1526,166221.37451610644
2042,189163.7831131409
442,305897.44482771005
1693,277382.7673232105
1468,218979.02509259974
1430,167203.30827984714
2605,217767.32258532252
1529,222352.60351058288
335,133658.4086249407
1287,170370.99447755222
31,133609.33532748243
1785,292619.82348218013
82,171776.26807847913
2620,141500.83415173664
252,173905.19478289445
721,145737.1991233548
2165,185085.52849725244
2316,165859.00413818075
775,160460.35031633952
1558,105480.02207796488
17,215979.71623033617
1022,223906.3269908069
925,140350.76894104498
438,267529.197481666
1270,140619.02904778003
1272,119401.55602690956
215,148463.05089884336
266,226971.34879297583
2402,279879.294847562
1250,126438.20256988317
1984,184288.66203085685
1279,153524.8591120011
377,226092.47221680495
1252,138437.79082838798
2156,249338.20472023956
499,254631.09014340607
1374,149394.96843181315
2898,249772.60327477506
401,101070.96325055085
2721,181891.85422658458
2078,238046.1157426804
2589,119551.29276130555
1946,234294.59379924988
1334,144736.64622879878
2781,207661.46876493294
431,345980.1337958218
576,211395.02939128375
1474,214915.01513764093
2254,148965.56059869638
2155,258564.85430256155
885,139946.3688103433
643,150158.33862762398
1944,115342.53593668077
480,198981.94494733354
2845,110487.46824047019
2387,275879.24396168836
2407,203695.6781226797
2527,172742.18358027277
2514,144922.55837306904
629,152713.53090880119
80,206166.2894597191
1876,142164.5305927433
1546,99034.89526338484
2518,189005.84307564457
2347,161378.32622870573
783,212320.3701228656
1322,99370.85521229362
194,141725.77545664422
